,Titulo,Categoria,Año,Duracion,Cal. de critica,Cal. de usuarios
48,Celeste ,Platformer,2018,8.5h,94,7.7
49,Chained Echoes ,Role playing,2022,34h,tbd,8.2
50,Chicory: A Colorful Tale ,Action & adventure,2023,9.5h,tbd,tbd
51,Chivalry 2 ,Action & adventure,2021,— h,tbd,5.5
52,Cities: Skylines Xbox One Edition,Simulation,2017,28.5h,81,6.5
53,Citizen Sleeper ,Action & adventure,2022,6.5h,tbd,tbd
54,Cocoon ,Action & adventure,2023,3.5h,?,?
55,Coffee Talk Episode 2: Hibiscus and Butterfly ,Word,2023,— h,tbd,tbd
56,Common'hood ,Simulation,2023,— h,tbd,tbd
57,Conan Exiles ,Action & adventure,2018,44h,64,5.3
58,Contrast ,Platformer,2014,3.5h,tbd,6.0
59,Cooking Simulator ,Simulation,2020,9h,tbd,tbd
60,Costume Quest ,Action & adventure,2010,5.5h,65,6.6
61,Costume Quest 2 ,Action & adventure,2014,6.5h,65,6.6
62,Crackdown 3 ,Action & adventure,2019,7h,60,4.3
63,Cricket 22 ,Sports,2021,23.5h,tbd,8.0
64,Crimson Skies: High Road to Revenge ,Racing & flying,2003,7.5h,88,8.8
65,Crysis ,Shooter,2011,10h,81,7.7
66,Crysis 2 ,Shooter,2011,9h,84,7.6
67,Crysis 3 ,Shooter,2013,7h,76,6.9
68,Dante's Inferno ,Action & adventure,2010,8.5h,73,7.7
69,Darkest Dungeon ,Action & adventure,2018,57h,tbd,9.3
70,Day of the Tentacle Remastered ,Action & adventure,2020,5h,tbd,6.6
71,DayZ ,Action & adventure,2019,53.5h,56,3.7
72,Dead by Daylight Special Edition,Action & adventure,2017,564h,58,4.5
73,Dead Cells ,Action & adventure,2018,15h,91,8.2
74,Dead Space ,Action & adventure,2010,11h,89,8.8
75,Dead Space 2 ,Action & adventure,2011,9h,90,8.7
76,Dead Space 3 ,Action & adventure,2013,13h,78,6.5
77,Dead Space Ignition ,Action & adventure,2010,1.5h,35,4.3
78,Death's Door ,Action & adventure,2021,9h,87,7.1
79,Deep Rock Galactic ,Shooter,2020,58h,83,7.8
80,Descenders ,Action & adventure,2019,5h,77,6.6
81,Dicey Dungeons ,Card & board,2021,28.5h,tbd,tbd
82,DIRT 5 ,Racing & flying,2020,8.5h,83,6.1
83,DiRT Rally 2.0 ,Racing & flying,2019,14h,tbd,tbd
84,Dishonored 2 ,Action & adventure,2016,13h,88,8.8
85,Dishonored: Death of the Outsider ,Action & adventure,2017,6.5h,84,8.0
86,Dishonored: Definitive Edition ,Action & adventure,2015,12.5h,76,8.3
87,Disney Dreamlight Valley ,Simulation,2022,29.5h,tbd,tbd
88,Disneyland Adventures ,Family & kids,2017,16.5h,67,6.1
89,DOOM ,Shooter,2016,12h,87,8.5
90,DOOM (1993) ,Shooter,2019,5h,tbd,8.6
91,DOOM 3 ,Shooter,2019,11h,tbd,8.6
92,DOOM 64 ,Classics,2020,7h,77,7.9
93,DOOM Eternal Standard Edition,Shooter,2020,14.5h,88,9.0
94,DOOM II Classic,Shooter,2019,7h,tbd,8.4
95,Dordogne ,Other,2023,3.5h,tbd,tbd
96,Dragon Age II ,Action & adventure,2011,27h,79,4.6
97,Dragon Age: Inquisition ,Role playing,2014,47.5h,85,7.2
98,Dragon Age: Origins ,Role playing,2010,40.5h,86,8.0
99,EA Sports UFC 3 ,Sports,2018,9.5h,77,5.2
100,EA Sports UFC 4 ,Action & adventure,2020,13h,82,2.1
101,Eastern Exorcist ,Action & adventure,2023,5.5h,tbd,tbd
102,Eiyuden Chronicle: Rising ,Action & adventure,2022,12h,tbd,6.0
103,Escape Academy ,Action & adventure,2022,5h,tbd,tbd
104,Exoprimal ,Action & adventure,2023,— h,tbd,tbd
105,F1 2021 ,Racing & flying,2021,13h,tbd,4.9
106,F1 22 ,Racing & flying,2022,32h,tbd,3.7
107,F1® Manager 2023 ,Simulation,2023,— h,?,?
108,Fable Anniversary ,Role playing,2014,13.5h,68,7.2
109,Fable II ,Role playing,2010,13.5h,89,6.7
110,Fable III ,Action & adventure,2010,13.5h,80,6.6
111,Fallout 3 ,Role playing,2010,23.5h,93,8.5
112,Fallout 4 ,Role playing,2015,28h,88,6.7
113,Fallout 76 ,Role playing,2018,33.5h,49,3.3
114,Fallout: New Vegas ,Action & adventure,2010,27.5h,84,8.7
115,Far Cry 5 ,Shooter,2018,18h,82,7.1
116,Farming Simulator 22 ,Simulation,2021,350h,tbd,tbd
117,Farworld Pioneers ,Action & adventure,2023,— h,tbd,tbd
118,Fe ,Action & adventure,2018,5.5h,70,7.0
119,Feeding Frenzy ,Action & adventure,2006,2h,65,7.1
120,Feeding Frenzy 2 ,Action & adventure,2008,2.5h,65,7.6
121,FIFA 22 ,Sports,2021,73.5h,tbd,2.3
122,FIFA 23 Standard Edition,Simulation,2022,109.5h,tbd,2.7
123,Fight Night Champion ,Fighting,2010,4.5h,86,7.4
124,Figment 2: Creed Valley ,Action & adventure,2023,4h,tbd,tbd
125,Firewatch ,Action & adventure,2016,4h,85,6.0
126,Football Manager 2024 Console ,Simulation,2023,— h,?,?
127,For Honor: Marching Fire Edition ,Action & adventure,2018,7h,tbd,4.8
128,Forager ,Action & adventure,2020,15h,tbd,6.8
129,Forza Horizon 4 Standard Edition,Racing & flying,2018,15.5h,92,8.3
130,Forza Horizon 5 Standard Edition,Racing & flying,2021,20.5h,tbd,6.6
131,Frog Detective: The Entire Mystery ,Action & adventure,2023,4h,?,?
132,From Space ,Action & adventure,2023,6h,?,?
133,Frostpunk Console Edition,Simulation,2019,11h,84,8.2
134,Fuga: Melodies of Steel 2 ,Role playing,2023,20h,tbd,tbd
135,Full Throttle Remastered ,Action & adventure,2020,4h,tbd,5.9
136,Fuzion Frenzy ,Action & adventure,2001,3.5h,70,7.0
137,Gang Beasts ,Fighting,2019,3.5h,67,7.0
138,Garden Story ,Action & adventure,2022,10.5h,tbd,tbd
139,Gears 5 Game of the Year Edition,Shooter,2020,11.5h,82,7.6
140,Gears of War ,Shooter,2009,9h,94,8.4
